Country,Year,% of 25-64 year olds with Below Upper Secondary Education,% of 25-64 year olds with Tertiary Education,% of 25-64 year olds with Upper Secondary Education
ARG,2010,43.36871,20.111586,36.519707
ARG,2011,42.753086,20.237337,37.009579
ARG,2012,41.416412,20.556126,38.027462
ARG,2013,40.635166,21.056189,38.308643
ARG,2014,41.248135,20.534544,38.217319
ARG,2017,38.528397,21.406713,40.064892
ARG,2018,36.971165,21.924601,41.104233
ARG,2019,35.771305,22.811752,41.416943
ARG,2020,37.158802,22.400209,40.44099
ARG,2021,33.458462,24.765341,41.776196
AUS,2010,26.792744,37.604309,35.602947
AUS,2011,25.922543,38.342072,35.735386
AUS,2012,23.563389,41.282364,35.154247
AUS,2013,24.28443,39.539928,36.17564
AUS,2014,22.895836,41.901855,35.202309
AUS,2015,20.980896,42.888756,36.130348
AUS,2016,20.067352,43.7439,36.188747
AUS,2017,19.012659,45.355675,35.631668
AUS,2018,18.108641,45.727478,36.163879
AUS,2019,17.132658,47.129978,35.737366
AUS,2020,16.244976,49.337452,34.417572
AUS,2021,15.46888,49.767868,34.763252
AUT,2010,17.647495,27.743721,54.608784
AUT,2011,17.636829,27.956152,54.407017
AUT,2012,17.08353,28.739943,54.176529
AUT,2013,17.028002,29.738844,53.233154
AUT,2014,16.143999,29.904896,53.951103
AUT,2015,15.351305,30.550726,54.097969
AUT,2016,15.471591,31.383963,53.144444
AUT,2017,15.037577,32.39439,52.568035
AUT,2018,14.702526,32.711426,52.586048
AUT,2019,14.435863,33.773777,51.790359
AUT,2020,14.341329,34.205894,51.452774
AUT,2021,14.060361,34.604504,51.335136
BEL,2010,29.500488,34.989502,35.51001
BEL,2011,28.733294,34.612984,36.653725
BEL,2012,28.356371,35.316551,36.32708
BEL,2013,27.241648,35.535332,37.223022
BEL,2014,26.44935,36.855022,36.695625
BEL,2015,25.322903,36.857422,37.819675
BEL,2016,24.905834,37.503956,37.59021
BEL,2017,23.202787,40.257053,36.540157
BEL,2018,21.773218,40.638546,37.588238
BEL,2019,21.313864,40.67009,38.016045
BEL,2020,20.218918,42.442284,37.338799
BEL,2021,18.473303,44.873066,36.653629
BRA,2011,56.729549,11.614742,31.655708
BRA,2012,54.996342,12.993286,32.010372
BRA,2013,53.588863,13.746482,32.664654
BRA,2014,52.637005,14.321353,33.041641
BRA,2015,51.127499,14.794608,34.077896
BRA,2016,48.828545,16.858622,34.312836
BRA,2017,48.041367,17.146753,34.811878
BRA,2018,46.323441,18.355165,35.321396
BRA,2019,45.144974,18.71954,36.135487
BRA,2020,42.072502,20.057917,37.869579
BRA,2021,41.5784,20.678915,37.742687
CAN,2010,11.736887,50.311695,37.95142
CAN,2011,11.368477,51.033012,37.598511
CAN,2012,11.035321,52.305416,36.659264
CAN,2013,10.45779,52.971439,36.57077
CAN,2014,10.011459,53.61496,36.373581
CAN,2015,9.5978909,55.17366,35.228447
CAN,2016,9.3911886,56.265068,34.343746
CAN,2017,8.8729382,56.71452,34.412544
CAN,2018,8.3779144,57.888363,33.733723
CAN,2019,8.1420355,59.374844,32.48312
CAN,2020,7.5580816,59.961113,32.480804
CAN,2021,6.9325643,61.985279,31.082157
CHE,2010,14.966761,33.881504,51.151737
CHE,2011,15.176706,34.000179,50.823112
CHE,2012,14.334973,35.291126,50.373901
CHE,2013,13.589899,37.407192,49.002911
CHE,2014,12.776213,38.428497,48.795288
CHE,2015,12.704829,39.782719,47.512451
CHE,2016,12.564119,41.235474,46.200405
CHE,2017,12.191644,42.594601,45.213757
CHE,2018,11.598805,43.744415,44.65678
CHE,2019,10.993076,44.412537,44.594387
CHE,2020,10.719828,45.277538,44.002632
CHE,2021,12.57438,45.002983,42.422638
CHL,2011,42.320229,17.813892,39.865879
CHL,2013,38.585766,21.089819,40.324417
CHL,2015,35.133507,22.475199,42.391296
CHL,2017,32.552322,25.168179,42.279499
CHL,2020,28.026119,31.439775,40.534103
CHN,2010,75.53817,9.6811743,14.780653
CHN,2020,63.374126,18.535316,18.090559
COL,2014,48.033009,22.356598,29.610394
COL,2015,49.589104,21.562889,28.848007
COL,2016,47.523586,22.247128,30.229284
COL,2017,46.221489,22.491623,31.28689
COL,2018,44.813713,23.391361,31.794924
COL,2019,43.28978,23.819326,32.890892
COL,2020,41.220875,24.594643,34.184483
COL,2021,39.789829,25.207756,35.002415
CRI,2010,63.147984,20.980572,15.871445
CRI,2011,62.58416,21.594719,15.821122
CRI,2012,60.889778,23.244442,15.865781
CRI,2013,59.697968,23.270735,17.031296
CRI,2014,59.457653,23.535925,17.00642
CRI,2015,60.632359,23.136086,16.231556
CRI,2016,60.063385,22.998714,16.937899
CRI,2017,60.489311,22.989092,16.521597
CRI,2018,60.770302,22.601564,16.628136
CRI,2019,57.304142,25.066828,17.629028
CRI,2020,57.331299,25.112001,17.5567
CRI,2021,57.373444,24.640232,17.986324
CZE,2010,8.0573692,16.764982,75.17765
CZE,2011,7.6677351,18.243177,74.089088
CZE,2012,7.5491762,19.277992,73.172829
CZE,2013,7.1797996,20.45986,72.360344
CZE,2014,6.8099089,21.51013,71.679962
CZE,2015,6.841207,22.186741,70.972054
CZE,2016,6.5732007,22.971544,70.455254
CZE,2017,6.2063141,23.927534,69.86615
CZE,2018,6.1394086,24.262077,69.598511
CZE,2019,6.2475748,24.212393,69.540031
CZE,2020,5.9468889,24.853664,69.199448
CZE,2021,5.5797949,26.537458,67.882744
DEU,2010,14.189683,26.609148,59.201168
DEU,2011,13.74963,27.562323,58.688049
DEU,2012,13.699094,28.121572,58.179337
DEU,2013,13.679199,28.47327,57.84753
DEU,2014,13.096583,27.057884,59.845531
DEU,2015,13.208749,27.638235,59.153015
DEU,2016,13.523512,28.291723,58.184765
DEU,2017,13.478389,28.58337,57.93824
DEU,2018,13.324821,29.065134,57.610046
DEU,2019,13.27747,29.900126,56.822407
DEU,2020,13.894735,31.255043,54.85022
DEU,2021,14.672102,31.143503,54.184395
DNK,2010,23.289925,33.002644,43.707432
DNK,2011,22.021439,33.662952,44.315609
DNK,2012,21.165937,34.639698,44.194366
DNK,2013,20.812916,35.204632,43.982452
DNK,2014,21.054119,35.667145,43.278736
DNK,2015,20.280628,36.565422,43.15395
DNK,2016,19.726067,37.766045,42.507889
DNK,2017,19.052462,38.889214,42.058323
DNK,2018,18.940752,39.44791,41.61134
DNK,2019,18.410515,40.353836,41.235649
DNK,2020,18.64369,39.326214,42.030094
DNK,2021,17.887573,41.881645,40.230782
ESP,2010,47.127037,31.016668,21.856297
ESP,2011,45.960678,31.91456,22.12476
ESP,2012,45.344112,32.649994,22.005894
ESP,2013,44.545616,33.734821,21.719563
ESP,2014,43.382374,34.678776,21.93885
ESP,2015,42.565994,35.081161,22.352846
ESP,2016,41.726074,35.693489,22.580437
ESP,2017,40.925529,36.351273,22.723196
ESP,2018,39.884182,37.252804,22.863016
ESP,2019,38.685894,38.596992,22.717112
ESP,2020,37.134796,39.68692,23.178282
ESP,2021,36.083153,40.703045,23.213802
EST,2010,10.864561,35.423084,53.712353
EST,2011,10.989735,36.889767,52.120499
EST,2012,10.076135,37.605877,52.317989
EST,2013,9.4806528,37.345535,53.173813
EST,2014,11.895004,37.499954,50.605042
EST,2015,11.442164,38.030697,50.527138
EST,2016,11.10444,38.756851,50.13871
EST,2017,11.317183,39.663879,49.018936
EST,2018,10.810427,41.130722,48.058849
EST,2019,9.9434958,41.368298,48.688206
EST,2020,9.3462172,42.209454,48.444328
EST,2021,10.475689,41.226608,48.297703
FIN,2010,17.01717,38.146343,44.836487
FIN,2011,16.27569,39.318207,44.406101
FIN,2012,15.202716,39.661289,45.135994
FIN,2013,14.109433,40.545231,45.345337
FIN,2014,13.493114,41.776676,44.730209
FIN,2015,12.847135,42.742619,44.410244
FIN,2016,12.091855,43.595264,44.312881
FIN,2017,11.896179,44.304253,43.799568
FIN,2018,10.926194,45.188133,43.885674
FIN,2019,9.7360916,45.93438,44.329529
FIN,2020,8.7888527,47.874241,43.336906
FIN,2021,11.083303,42.33107,46.585629
FRA,2010,29.233322,29.006897,41.759781
FRA,2011,28.385553,29.767,41.847446
FRA,2012,27.465466,30.856123,41.67841
FRA,2013,25.153784,32.105263,42.740952
FRA,2014,22.681496,33.539047,43.779457
FRA,2015,22.467602,34.085361,43.447037
FRA,2016,21.89171,34.582485,43.525806
FRA,2017,21.615114,35.213791,43.171093
FRA,2018,20.640024,36.897491,42.462482
FRA,2019,19.56168,37.904724,42.533596
FRA,2020,18.510624,39.717316,41.77206
FRA,2021,17.760235,40.703068,41.536697
GBR,2010,24.937599,38.187191,36.87521
GBR,2011,23.167467,39.412373,37.420158
GBR,2012,21.91477,40.977753,37.107475
GBR,2013,20.849527,41.891979,37.258495
GBR,2014,20.83497,42.217449,36.947582
GBR,2015,20.38233,44.197987,35.419685
GBR,2016,19.253021,45.766762,34.980217
GBR,2017,18.831131,45.744305,35.424564
GBR,2018,20.707432,45.781677,33.510891
GBR,2019,19.939764,47.189125,32.871109
GBR,2020,18.349808,49.39045,32.259743
GBR,2021,18.294903,50.145672,31.559423
GRC,2010,37.26366,24.744848,37.991489
GRC,2011,35.445217,26.112072,38.442711
GRC,2012,34.217484,26.719267,39.063248
GRC,2013,32.80518,27.423178,39.771641
GRC,2014,31.733679,28.105659,40.160664
GRC,2015,29.780088,29.057495,41.162418
GRC,2016,28.349747,30.231607,41.418648
GRC,2017,27.290607,31.027514,41.681881
GRC,2018,26.630527,31.739904,41.629566
GRC,2019,26.043503,31.890486,42.06601
GRC,2020,23.603962,32.744011,43.652027
GRC,2021,21.812767,34.556225,43.631008
HUN,2010,18.707645,20.121918,61.170437
HUN,2011,18.232164,21.124001,60.643833
HUN,2012,17.879883,22.046715,60.073402
HUN,2013,17.505869,22.505821,59.988312
HUN,2014,16.905603,23.356073,59.738323
HUN,2015,16.783051,24.242552,58.9744
HUN,2016,16.637701,23.713329,59.648968
HUN,2017,15.97375,24.054041,59.972206
HUN,2018,15.138174,25.101177,59.760651
HUN,2019,15.026365,25.981535,58.9921
HUN,2020,14.426455,27.203154,58.370392
HUN,2021,13.719394,29.29541,56.985195
IDN,2010,69.68969,7.9779863,22.332325
IDN,2011,68.898232,8.1564999,22.945271
IDN,2012,68.246284,9.007103,22.746614
IDN,2013,67.267471,9.3885174,23.344013
IDN,2014,66.420502,9.6783018,23.901196
IDN,2015,64.566017,10.567527,24.866455
IDN,2016,62.975384,11.338527,25.686089
IDN,2017,62.102646,11.857569,26.039787
IDN,2018,60.750225,12.401382,26.848392
IDN,2019,59.947014,12.414515,27.638472
IDN,2020,58.648563,12.801033,28.550402
IDN,2021,57.04705,13.170677,29.782272
IND,2011,71.298172,10.595189,18.10664
IND,2012,84.892136,7.1028476,8.0050173
IND,2018,80.105392,11.461905,8.4327021
IND,2019,78.520782,12.368952,9.1102676
IND,2020,77.645477,12.94724,9.4072857
IRL,2010,27.225185,37.584061,35.190754
IRL,2011,26.365326,38.162312,35.472363
IRL,2012,25.367115,39.69788,34.935005
IRL,2013,23.273964,41.47068,35.255356
IRL,2014,21.187292,40.967049,37.845661
IRL,2015,20.182577,42.806118,37.011307
IRL,2016,18.31505,45.104263,36.580685
IRL,2017,17.994549,45.65897,36.346481
IRL,2018,16.825432,46.935135,36.239433
IRL,2019,16.342939,47.306835,36.350227
IRL,2020,14.507091,49.943962,35.548946
IRL,2021,12.765348,53.708744,33.525906
ISL,2010,30.850618,31.298735,37.850647
ISL,2011,30.366735,32.616898,37.016365
ISL,2012,30.561222,33.888733,35.550045
ISL,2013,29.45565,34.277187,36.267162
ISL,2014,28.481115,35.608643,35.91024
ISL,2015,26.582855,36.97718,36.439964
ISL,2016,23.394308,38.100773,38.504921
ISL,2017,25.207304,39.043491,35.749207
ISL,2018,24.459627,40.279774,35.260601
ISL,2019,24.060982,40.948925,34.990093
ISL,2020,24.087782,40.643898,35.268318
ISL,2021,21.429537,43.06255,35.507912
ISR,2010,17.935621,45.560074,36.504307
ISR,2011,16.986902,46.396889,36.616207
ISR,2012,15.451829,46.441711,38.106457
ISR,2013,15.01176,47.421043,37.567196
ISR,2014,14.64511,48.53273,36.822159
ISR,2015,14.464885,48.824478,36.710636
ISR,2016,13.231215,49.895348,36.87344
ISR,2017,12.625726,50.91605,36.458225
ISR,2018,13.634555,50.201576,36.163872
ISR,2019,12.920499,50.246292,36.83321
ISR,2020,11.989373,50.12072,37.889904
ISR,2021,12.055555,49.688583,38.255859
ITA,2010,44.825645,14.802574,40.37178
ITA,2011,43.971539,14.935372,41.093086
ITA,2012,42.763065,15.708264,41.528671
ITA,2013,41.84333,16.289694,41.866974
ITA,2014,40.693222,16.910578,42.396198
ITA,2015,40.108776,17.546457,42.344765
ITA,2016,39.856853,17.723593,42.419556
