Country,Year,Population with tertiary education (% of 24-35 year olds)
AUS,2010,44.374836
AUS,2011,44.615528
AUS,2012,47.231079
AUS,2013,45.745182
AUS,2014,48.13139
AUS,2015,48.466274
AUS,2016,49.30521
AUS,2017,51.989063
AUS,2018,51.393173
AUS,2019,52.478458
AUS,2020,54.614105
AUS,2021,54.307404
AUT,2010,33.863789
AUT,2011,34.808361
AUT,2012,36.127834
AUT,2013,38.666092
AUT,2014,38.403149
AUT,2015,38.626846
AUT,2016,39.671021
AUT,2017,40.324657
AUT,2018,40.458271
AUT,2019,41.610401
AUT,2020,41.419125
AUT,2021,42.444088
BEL,2010,43.801159
BEL,2011,42.455688
BEL,2012,42.989902
BEL,2013,42.663147
BEL,2014,44.239079
BEL,2015,43.144318
BEL,2016,44.311111
BEL,2017,45.725086
BEL,2018,47.397144
BEL,2019,47.282982
BEL,2020,48.508053
BEL,2021,50.869141
CAN,2010,56.169838
CAN,2011,56.40131
CAN,2012,57.056797
CAN,2013,57.603394
CAN,2014,57.725277
CAN,2015,59.182831
CAN,2016,60.582603
CAN,2017,60.916767
CAN,2018,61.754246
CAN,2019,62.965115
CAN,2020,64.386749
CAN,2021,66.357666
CZE,2010,22.630354
CZE,2011,25.124683
CZE,2012,27.832432
CZE,2013,29.195036
CZE,2014,29.88735
CZE,2015,31.010311
CZE,2016,32.564495
CZE,2017,33.821026
CZE,2018,33.328793
CZE,2019,32.580391
CZE,2020,33.001759
CZE,2021,35.038952
DNK,2010,37.608952
DNK,2011,38.600784
DNK,2012,40.192459
DNK,2013,40.929459
DNK,2014,41.623554
DNK,2015,43.043034
DNK,2016,44.594067
DNK,2017,45.537395
DNK,2018,45.83231
DNK,2019,47.097672
DNK,2020,42.575157
DNK,2021,49.040775
FIN,2010,39.207012
FIN,2011,39.377258
FIN,2012,39.749657
FIN,2013,39.992779
FIN,2014,40.308151
FIN,2015,40.524899
FIN,2016,41.13372
FIN,2017,41.253643
FIN,2018,41.313869
FIN,2019,41.820766
FIN,2020,44.665718
FIN,2021,40.05682
FRA,2010,42.87175
FRA,2011,42.988277
FRA,2012,42.909988
FRA,2013,44.055721
FRA,2014,44.726288
FRA,2015,44.687599
FRA,2016,44.036968
FRA,2017,44.34428
FRA,2018,46.937691
FRA,2019,48.052528
FRA,2020,49.449242
FRA,2021,50.256466
DEU,2010,26.133959
DEU,2011,27.67141
DEU,2012,28.956329
DEU,2013,29.995255
DEU,2014,28.422802
DEU,2015,29.588667
DEU,2016,30.527618
DEU,2017,31.308737
DEU,2018,32.281734
DEU,2019,33.260235
DEU,2020,34.876732
DEU,2021,35.882999
GRC,2010,31.15996
GRC,2011,32.736923
GRC,2012,34.977001
GRC,2013,37.168961
GRC,2014,38.66687
GRC,2015,40.063866
GRC,2016,40.979172
GRC,2017,42.479965
GRC,2018,42.821678
GRC,2019,42.406635
GRC,2020,43.685429
GRC,2021,44.18454
HUN,2010,26.019491
HUN,2011,28.107714
HUN,2012,30.430923
HUN,2013,30.876373
HUN,2014,32.109055
HUN,2015,32.12635
HUN,2016,30.400248
HUN,2017,30.162258
HUN,2018,30.576908
HUN,2019,30.589085
HUN,2020,30.688835
HUN,2021,32.914749
ISL,2010,34.048439
ISL,2011,37.75489
ISL,2012,36.48513
ISL,2013,37.768463
ISL,2014,38.405033
ISL,2015,37.672207
ISL,2016,40.021423
ISL,2017,42.677822
ISL,2018,42.116936
ISL,2019,42.176826
ISL,2020,38.304203
ISL,2021,41.92347
IRL,2010,48.32497
IRL,2011,47.42931
IRL,2012,49.205013
IRL,2013,51.073551
IRL,2014,50.768299
IRL,2015,52.004166
IRL,2016,53.430691
IRL,2017,53.473541
IRL,2018,56.174488
IRL,2019,55.44936
IRL,2020,58.383801
IRL,2021,62.884991
ITA,2010,20.719744
ITA,2011,20.983423
ITA,2012,22.250719
ITA,2013,22.744907
ITA,2014,24.158854
ITA,2015,25.149963
ITA,2016,25.584146
ITA,2017,26.816479
ITA,2018,27.863623
ITA,2019,27.931559
ITA,2020,28.628069
ITA,2021,28.267422
JPN,2010,56.70573
JPN,2011,58.721333
JPN,2012,58.554874
JPN,2013,58.368496
JPN,2014,58.585857
JPN,2015,59.646538
JPN,2016,60.120392
JPN,2017,60.426178
JPN,2018,60.730949
JPN,2019,61.514194
JPN,2020,63.54916
JPN,2021,64.814812
KOR,2010,61.449047
KOR,2011,63.734528
KOR,2012,65.603264
KOR,2013,67.088554
KOR,2014,67.665947
KOR,2015,68.861946
KOR,2016,69.851555
KOR,2017,69.752068
KOR,2018,69.574219
KOR,2019,69.802818
KOR,2020,69.812752
KOR,2021,69.288513
LUX,2010,44.22842
LUX,2011,46.64621
LUX,2012,49.882286
LUX,2013,48.131443
LUX,2014,52.928135
LUX,2015,49.945854
LUX,2016,51.431648
LUX,2017,51.395588
LUX,2018,54.780186
LUX,2019,54.989532
LUX,2020,58.153271
LUX,2021,63.120159
MEX,2010,17.700443
MEX,2011,18.792442
MEX,2012,20.029097
MEX,2013,20.856949
MEX,2014,20.312202
MEX,2015,20.806568
MEX,2016,21.791378
MEX,2017,22.555721
MEX,2018,23.359127
MEX,2019,23.587111
MEX,2020,25.290871
MEX,2021,27.056374
NLD,2010,40.803711
NLD,2011,39.784946
NLD,2012,43.036243
NLD,2013,42.863594
NLD,2014,44.287262
NLD,2015,45.087276
NLD,2016,45.223412
NLD,2017,46.594383
NLD,2018,47.603172
NLD,2019,49.103264
NLD,2020,52.261906
NLD,2021,55.604595
NZL,2014,40.402225
NZL,2015,39.066757
NZL,2016,43.396225
NZL,2017,44.158596
NZL,2018,45.811745
NZL,2019,43.792194
NZL,2020,43.913631
NZL,2021,45.316936
NOR,2010,47.255039
NOR,2011,46.807133
NOR,2012,45.018452
NOR,2013,46.648712
NOR,2014,49.008167
NOR,2015,48.138676
NOR,2016,48.614609
NOR,2017,48.337029
NOR,2018,48.211601
NOR,2019,48.658932
NOR,2020,50.841923
NOR,2021,55.034714
POL,2010,37.126976
POL,2011,38.998249
POL,2012,40.798927
