"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","25_34","PC_AGE","A","2010",44.374836,
"AUS","EDUTRY","25_34","PC_AGE","A","2011",44.615528,
"AUS","EDUTRY","25_34","PC_AGE","A","2012",47.231079,
"AUS","EDUTRY","25_34","PC_AGE","A","2013",45.745182,
"AUS","EDUTRY","25_34","PC_AGE","A","2014",48.13139,
"AUS","EDUTRY","25_34","PC_AGE","A","2015",48.466274,
"AUS","EDUTRY","25_34","PC_AGE","A","2016",49.30521,
"AUS","EDUTRY","25_34","PC_AGE","A","2017",51.989063,
"AUS","EDUTRY","25_34","PC_AGE","A","2018",51.393173,
"AUS","EDUTRY","25_34","PC_AGE","A","2019",52.478458,
"AUS","EDUTRY","25_34","PC_AGE","A","2020",54.614105,
"AUS","EDUTRY","25_34","PC_AGE","A","2021",54.307404,
"AUT","EDUTRY","25_34","PC_AGE","A","2010",33.863789,
"AUT","EDUTRY","25_34","PC_AGE","A","2011",34.808361,
"AUT","EDUTRY","25_34","PC_AGE","A","2012",36.127834,
"AUT","EDUTRY","25_34","PC_AGE","A","2013",38.666092,
"AUT","EDUTRY","25_34","PC_AGE","A","2014",38.403149,
"AUT","EDUTRY","25_34","PC_AGE","A","2015",38.626846,
"AUT","EDUTRY","25_34","PC_AGE","A","2016",39.671021,
"AUT","EDUTRY","25_34","PC_AGE","A","2017",40.324657,
"AUT","EDUTRY","25_34","PC_AGE","A","2018",40.458271,
"AUT","EDUTRY","25_34","PC_AGE","A","2019",41.610401,
"AUT","EDUTRY","25_34","PC_AGE","A","2020",41.419125,
"AUT","EDUTRY","25_34","PC_AGE","A","2021",42.444088,
"BEL","EDUTRY","25_34","PC_AGE","A","2010",43.801159,
"BEL","EDUTRY","25_34","PC_AGE","A","2011",42.455688,
"BEL","EDUTRY","25_34","PC_AGE","A","2012",42.989902,
"BEL","EDUTRY","25_34","PC_AGE","A","2013",42.663147,
