Year,Central Europe and the Baltics,Latin America & Caribbean,North America,Sub-Saharan Africa,South Asia,East Asia & Pacific,Europe & Central Asia
2002,11.16444986,5.89440897,8.362035409,14.46311754,8.271594198,6.639637239,10.89059528
2003,11.31944379,5.872449727,8.27193515,14.11993662,8.141985178,6.640932012,11.0077956
2004,11.11677889,5.860611225,8.091555094,13.73215226,8.019082111,6.619226753,10.61520172
2005,11.34498586,5.857654518,8.181737065,13.30731461,7.900377625,6.689195766,10.77405891
2006,11.28587385,5.859887115,7.991567608,12.85358286,7.782988307,6.851832866,10.45788197
2007,11.38941109,5.872183558,7.911231803,12.38310155,7.664939223,6.925233539,10.40035975
2008,11.37212514,5.890469398,8.011064921,11.91290738,7.547981721,7.013200477,10.37723577
2009,11.43433358,5.914132834,7.820846556,11.45337629,7.432747017,7.007769734,10.20586756
2010,11.42948365,5.942041898,7.896357327,11.01425932,7.324815791,7.040006343,10.189056
2011,11.31672317,5.975443861,7.97619197,10.60317779,7.226914646,7.075361023,9.986917491
2012,11.49672886,6.013877494,8.001993262,10.21980962,7.145094662,7.071445286,10.06569249
2013,11.41056152,6.056136581,8.113495524,9.865575119,7.081162301,7.068683156,9.960285376
2014,11.37511582,6.105476326,8.143091031,9.543254109,7.036422937,7.06496901,9.862769279
2015,11.8380896,6.152441589,8.335712328,9.254830478,7.009886947,7.047558904,10.13580907
2016,11.61716306,6.209581751,8.382994925,9.002742659,6.999554321,7.04868035,9.971208239
2017,11.97640243,6.265302718,8.522828398,8.781862292,7.000864062,7.084440952,10.01723292
2018,12.11740032,6.320984202,8.578337687,8.589029777,7.00944163,7.119903503,10.04457214
2019,11.98180022,6.380561129,8.586936937,8.419961247,7.023821061,7.142744606,9.926168747
2020,13.68306216,6.443467091,10.0733301,8.270181154,7.042079393,7.151329713,11.13079872
