""
"Indicator name: Intentional homicide  Data Source: UNODC(http://www.unodc.org/), Crime and criminal justice database(https://www.unodc.org/unodc/en/data-and-analysis/statistics/historic-data.html)"
"Description: Number of victims in total population express per 100,000 population. Intentional homicide is unlawful death purposefully inflicted on a person by another person. Data on intentional homicide should exclude attempted homicides."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Intentional homicide (Per 100,000 population)","Afghanistan","2009","3.93"
"Intentional homicide (Per 100,000 population)","Afghanistan","2010","3.37"
"Intentional homicide (Per 100,000 population)","Afghanistan","2011","4.09"
"Intentional homicide (Per 100,000 population)","Afghanistan","2012","6.25"
"Intentional homicide (Per 100,000 population)","Afghanistan","2015","9.78"
"Intentional homicide (Per 100,000 population)","Afghanistan","2016","6.55"
"Intentional homicide (Per 100,000 population)","Afghanistan","2017","6.68"
"Intentional homicide (Per 100,000 population)","Afghanistan","2018","6.66"
"Intentional homicide (Per 100,000 population)","Albania","1992","4.01"
"Intentional homicide (Per 100,000 population)","Albania","1993","5.98"
"Intentional homicide (Per 100,000 population)","Albania","1994","3.56"
"Intentional homicide (Per 100,000 population)","Albania","1995","8.32"
"Intentional homicide (Per 100,000 population)","Albania","1996","8.78"
"Intentional homicide (Per 100,000 population)","Albania","1997","43.04"
"Intentional homicide (Per 100,000 population)","Albania","1998","21.22"
"Intentional homicide (Per 100,000 population)","Albania","1999","17.04"
"Intentional homicide (Per 100,000 population)","Albania","2000","4.19"
"Intentional homicide (Per 100,000 population)","Albania","2001","7.03"
"Intentional homicide (Per 100,000 population)","Albania","2002","6.91"
"Intentional homicide (Per 100,000 population)","Albania","2003","5.32"
"Intentional homicide (Per 100,000 population)","Albania","2004","4.22"
"Intentional homicide (Per 100,000 population)","Albania","2005","4.99"
"Robbery (Per 100,000 population)","Albania","2005","0.00"
"Intentional homicide (Per 100,000 population)","Albania","2006","3.10"
"Robbery (Per 100,000 population)","Albania","2006","0.00"
"Intentional homicide (Per 100,000 population)","Albania","2007","3.46"
"Robbery (Per 100,000 population)","Albania","2007","0.00"
"Intentional homicide (Per 100,000 population)","Albania","2008","3.10"
"Robbery (Per 100,000 population)","Albania","2008","0.00"
"Intentional homicide (Per 100,000 population)","Albania","2009","2.86"
"Robbery (Per 100,000 population)","Albania","2009","0.00"
